"Mun Trab";"mediana"
312710;1351.9
314110;1354
313130;1354.385
310980;1360.5
316292;1363.55
310880;1363.99
316680;1364.88
314580;1366.56
315670;1367.15
311420;1369.385
310420;1370.75
315630;1375.44
316294;1377.135
314920;1379
315280;1384.15
310930;1389.98
311995;1391.07
316460;1392.41
310900;1393.425
317100;1395
313380;1396.185
313375;1400
317150;1400
313190;1400.89
314980;1403.785
316295;1405.25
314730;1410.76
313240;1413.1
314970;1413.34
317010;1413.53
313070;1414.14
315250;1422.41
310400;1427.44
310630;1428.85
316190;1430.22
313665;1440.87
316210;1448
314700;1448.21
311860;1449.08
317120;1457.07
315480;1460.12
352270;1467.9
317020;1474.12
312510;1482.995
315550;1488.6
312860;1490.5
316890;1495
311140;1495.85
311690;1499.33
210540;1500
310070;1503.51
311455;1524.92
316553;1548.14
311820;1576
310375;1576
313340;1576.77
314610;1594
313440;1600
521880;1639.03
310620;1664.14
315770;1664.65
313170;1668.5
311800;1694.8
313862;1761.09
315980;1763.53
311787;1770.64
313370;1793.26
311760;1802.35
311730;1820.84
310670;1866.67
312340;1925
314480;1927.47
510510;1962.33
314590;1971.02
315070;2128.35
312125;2228.625
510890;2271.815
316810;2274
311750;2352.66
313540;3674.55
